checkpoint,processed,exact_mean,estimate_mean,estimate_std
0,400001,275419,260395,864.771
1,800001,398665,380691,933.66
2,1200001,454566,430519,1078.58
3,1600001,479595,453139,1138.96
4,2000001,490791,463324,1183.7
5,2400001,495839,467924,1205.94
6,2800001,498130,469969,1214.95
7,3200001,499144,470898,1234.19
8,3600001,499629,471315,1229.28
9,4000001,499820,471501,1233.39
10,4400001,499914,471583,1234.92
11,4800001,499964,471621,1234.2
12,5200001,499989,471640,1234.55
13,5600001,499991,471649,1234.84
14,6000001,499995,471653,1234.72
15,6400001,499998,471655,1234.78
16,6800001,500000,471655,1234.95
17,7200001,500000,471656,1234.69
18,7600001,500000,471656,1234.72
19,8000001,500000,471656,1234.72
20,8400001,500000,471656,1234.66
21,8800001,500000,471656,1234.66
22,9200001,500000,471656,1234.66
23,9600001,500000,471656,1234.77
24,10000000,500000,471656,1234.77
